AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
3,PR01,20150505,0,999999,0.00000000,1,20210101,0.00000000
5,CPL01,20150507,0,999999,0.00000000,1,29991231,0.00000000
5,PR01,20150508,0,999999,0.00000000,1,29991231,0.00000000
9,9_CPTEB,20200723,0,999999,0.00000000,1,29991231,0.00000000
10,CPL01,20150722,0,999999,0.00000000,1,20210101,0.00000000
10,PR01,20150722,0,999999,0.00000000,1,20210101,0.00000000
14,14-CIRCUS,20190101,0,999999,1.00000000,25,20200728,0.00000000
14,14-CIRCUS,20200728,0,999999,1.00000000,25,20210406,0.00000000
14,14_BOTER1,20160212,0,999999,10.00000000,960,20190701,0.00000000
14,14_BOTER1,20190701,0,24,1.00000000,24,20210406,0.00000000
14,14_BOTER1,20190701,24,48,1.00000000,24,20210406,1.00000000
14,14_BOTER1,20190701,48,72,1.00000000,24,20210406,2.00000000
14,14_BOTER1,20190701,72,96,1.00000000,24,20210406,3.00000000
14,14_BOTER1,20190701,96,120,1.00000000,24,20210406,4.00000000
14,14_BOTER1,20190701,120,144,1.00000000,24,20210406,5.00000000
14,14_BOTER1,20190701,144,168,1.00000000,24,20210406,6.00000000
14,14_BOTER1,20190701,168,192,1.00000000,24,20210406,7.00000000
14,14_BOTER1,20190701,192,216,1.00000000,24,20210406,8.00000000
14,14_BOTER1,20190701,216,999999,1.00000000,24,20210406,9.00000000
14,14_BOTERD,20160212,0,999999,10.00000000,960,20190601,0.00000000
14,14_BOTERDK,20200720,0,999999,12.00000000,1440,20210406,0.00000000
14,14_DAGTAR,20160212,0,999999,10.00000000,960,20210406,0.00000000
14,DAGK20E,20130916,0,999999,20.00000000,1440,20210406,0.00000000
14,DAGK21E,20130916,0,999999,21.00000000,1440,20210406,0.00000000
14,GAR01,20130916,0,999999,1.00000000,25,20160212,0.00000000
14,GAR01,20160212,0,999999,1.00000000,25,20210402,0.00000000
14,GAR01,20210402,0,24,1.00000000,24,20210511,0.00000000
14,GAR01,20210402,24,48,1.00000000,24,20210511,1.00000000
14,GAR01,20210402,48,72,1.00000000,24,20210511,2.00000000
14,GAR01,20210402,72,96,1.00000000,24,20210511,3.00000000
14,GAR01,20210402,96,120,1.00000000,24,20210511,4.00000000
14,GAR01,20210402,120,144,1.00000000,24,20210511,5.00000000
14,GAR01,20210402,144,168,1.00000000,24,20210511,6.00000000
14,GAR01,20210402,168,192,1.00000000,24,20210511,7.00000000
14,GAR01,20210402,192,216,1.00000000,24,20210511,8.00000000
14,GAR01,20210402,216,999999,1.00000000,24,20210511,9.00000000
14,GAR01,20210511,0,999999,1.00000000,22,29991231,0.00000000
14,GAR02,20130916,0,999999,1.00000000,24,20210402,0.00000000
14,GAR02,20210402,0,999999,12.00000000,1440,29991231,0.00000000
14,GAR03,20130916,0,999999,0.02500000,1,20141021,0.00000000
14,GAR03,20141021,0,999999,1.50000000,60,20170927,0.00000000
14,GAR04,20141021,0,999999,20.00000000,1440,20170927,0.00000000
14,GAR05,20200721,0,999999,1.00000000,18,20210402,0.00000000
14,GAR05,20210402,0,999999,1.00000000,25,29991231,0.00000000
14,GAR06,20200721,0,999999,24.00000000,1440,20210402,0.00000000
14,GAR06,20210402,0,999999,12.00000000,1440,29991231,0.00000000
14,GAR07,20200721,0,999999,1.50000000,60,20210402,0.00000000
14,GAR07,20210402,0,999999,1.00000000,22,29991231,0.00000000
14,GAR08,20200721,0,999999,20.00000000,1440,20210402,0.00000000
14,GAR08,20210402,0,999999,21.00000000,1440,29991231,0.00000000
14,GAR09,20200721,0,999999,1.00000000,22,20210402,0.00000000
14,GAR09,20210402,0,999999,1.50000000,60,29991231,0.00000000
14,GAR10,20200721,0,999999,21.00000000,1440,20210402,0.00000000
14,GAR10,20210402,0,999999,20.00000000,1440,29991231,0.00000000
14,GAR11,20200728,0,999999,12.00000000,1440,20210402,0.00000000
14,GAR11,20210402,0,999999,1.00000000,18,29991231,0.00000000
14,GAR12,20210402,0,999999,24.00000000,1440,29991231,0.00000000
14,GEENTAR,20130917,0,999999,0.00000000,1,20210406,0.00000000
14,NULL,20120509,0,999999,0.00000000,1,29991231,0.00000000
14,PRTAR01,20130917,0,999999,1.50000000,60,29991231,0.00000000
14,TAR00,20220101,0,999999,0.07000000,1,20240101,0.00000000
14,TAR00,20240101,0,999999,0.07500000,1,29991231,0.00000000
14,TAR01,20120508,0,999999,0.44000000,12,20141022,0.00000000
14,TAR01,20141022,0,999999,0.50000000,12,20150701,0.00000000
14,TAR01,20150701,0,999999,0.04166667,1,20210331,0.00000000
14,TAR01,20210331,0,999999,0.06666667,1,20220101,0.00000000
14,TAR01,20220101,0,999999,0.06833333,1,20240101,0.00000000
14,TAR01,20240101,0,999999,0.07500000,1,29991231,0.00000000
14,TAR02,20120508,0,999999,0.30000000,12,20141022,0.00000000
14,TAR02,20141022,0,999999,0.36000000,12,20150701,0.00000000
14,TAR02,20150701,0,999999,0.03000000,1,20210331,0.00000000
14,TAR02,20210331,0,999999,0.04000000,1,20220101,0.00000000
14,TAR02,20220101,0,999999,0.04166667,1,20240101,0.00000000
14,TAR02,20240101,0,999999,0.04500000,1,29991231,0.00000000
14,TAR03,20141022,0,999999,0.00000000,1,20210331,0.00000000
14,TAR03,20210331,0,999999,0.03333333,1,20210406,0.00000000
14,TAR03,20210406,0,90,0.00000000,1,20220101,0.00000000
14,TAR03,20210406,90,999999,0.04000000,1,20220101,0.00000000
14,TAR03,20220101,0,90,0.00000000,1,20240101,0.00000000
14,TAR03,20220101,90,999999,0.04166667,1,20240101,0.00000000
14,TAR03,20240101,0,90,0.00000000,1,29991231,0.00000000
14,TAR03,20240101,90,999999,0.04500000,1,29991231,0.00000000
14,TAR04,20150701,0,999999,0.03833333,1,20210331,0.00000000
14,TAR04,20210331,0,30,0.65000000,30,20210401,0.00000000
14,TAR04,20210331,30,999999,0.65000000,8,20210401,0.65000000
14,TAR04,20210401,0,30,0.65000000,30,29991231,0.00000000
14,TAR04,20210401,30,999999,0.65000000,8,29991231,0.65000000
14,TAR05,20150701,0,999999,8.70000000,990,20210331,0.00000000
14,TAR05,20210331,0,999999,10.00000000,1440,20220101,0.00000000
14,TAR05,20220101,0,999999,12.50000000,1440,20240101,0.00000000
14,TAR05,20240101,0,999999,13.00000000,1440,29991231,0.00000000
14,TAR06,20150701,0,30,0.50000000,30,20210331,0.00000000
14,TAR06,20150701,30,999999,0.06666667,1,20210331,0.50000000
14,TAR06,20210331,0,999999,0.00000000,1,29991231,0.00000000
14,TAR07,20210412,0,999999,0.02000000,1,20220101,0.00000000
14,TAR07,20220101,0,999999,0.02166667,1,20240101,0.00000000
14,TAR07,20240101,0,999999,0.02333333,1,29991231,0.00000000
14,TAR08,20210412,0,999999,12.00000000,1440,20210610,0.00000000
14,TAR08,20210610,0,999999,10.00000000,1440,29991231,0.00000000
14,TAR09,20250101,0,90,0.00555600,1,29991231,0.00000000
14,TAR09,20250101,90,999999,0.04500000,1,29991231,0.50004000
14,TER01,20141021,0,999999,1.50000000,60,20170927,0.00000000
14,TER02,20141021,0,999999,20.00000000,1440,20170927,0.00000000
14,TER04,20150625,0,999999,5.00000000,630,20170927,0.00000000
17,GAR01,20130930,0,999999,0.50000000,30,20131008,0.00000000
17,GAR01,20131008,0,999999,0.60000000,30,20191028,0.00000000
17,TAR01,20120316,0,30,0.60000000,30,20141105,0.00000000
17,TAR01,20120316,30,999999,0.10000000,5,20141105,0.60000000
17,TAR01,20141105,0,999999,0.02000000,1,20191028,0.00000000
34,34_AVOND1,20140101,0,999999,2.50000000,240,20140801,0.00000000
34,34_AVOND1,20140801,0,999999,2.00000000,240,20171231,0.00000000
34,34_AVOND2,20140101,0,999999,5.00000000,360,20200101,0.00000000
34,34_AVOND2,20200101,0,999999,5.22000000,360,20210101,0.00000000
34,34_AVOND2,20210101,0,999999,5.32000000,360,20220101,0.00000000
34,34_AVOND2,20220101,0,999999,5.44000000,360,20230101,0.00000000
34,34_AVOND2,20230101,0,999999,5.91000000,360,20240101,0.00000000
34,34_AVOND2,20240101,0,999999,6.21000000,360,29991231,0.00000000
34,34_DAG01,20140101,0,999999,5.00000000,1440,20140801,0.00000000
34,34_DAG01,20140801,0,999999,2.00000000,1440,20230101,0.00000000
34,34_DAG01,20230101,0,999999,2.00000000,1440,29991231,0.00000000
34,34_DAG02,20140101,0,999999,9.50000000,1440,20200101,0.00000000
34,34_DAG02,20200101,0,999999,9.92000000,1440,20210101,0.00000000
34,34_DAG02,20210101,0,999999,10.10000000,1440,20220101,0.00000000
34,34_DAG02,20220101,0,999999,10.30000000,1440,20230101,0.00000000
34,34_DAG02,20230101,0,999999,11.23000000,1440,20240101,0.00000000
34,34_DAG02,20240101,0,999999,11.81000000,1440,29991231,0.00000000
